District,Type,X12..Women.who.are.literate....,X39..Children.who.received.postnatal.care.from.a.doctor.nurse.LHV.ANM.midwife.other.health.personnel.within.2.days.of.delivery....,X48..Children.age.12.23.months.who.have.received.BCG....,X49..Children.age.12.23.months.who.have.received.3.doses.of.polio.vaccine....,X50..Children.age.12.23.months.who.have.received.3.doses.of.DPT.vaccine....,X51..Children.age.12.23.months.who.have.received.measles.vaccine....,X52..Children.age.12.23.months.who.have.received.3.doses.of.Hepatitis.B.vaccine....,X53..Children.age.9.59.months.who.received.a.vitamin.A.dose.in.last.6.months....,X67..Total.children.age.6.23.months.receiving.an.adequate.diet9.10....,X68..Children.under.5.years.who.are.stunted11....,X69..Children.under.5.years.who.are.wasted11....,X70..Children.under.5.years.who.are.severely.wasted12....,X71..Children.under.5.years.who.are.underweight11....,X76..Children.age.6.59.months.who.are.anaemic...11.0.g.dl.....,state
Dibrugarh,Total,0.3306462137772609,0.53493398559744465,0.9085909531128998,0.3813405472332679,0.26525986013579766,0.9030415503480297,0.4976686577687018,0.31484830200331687,0.6986436879056261,-0.29515230528554387,0.2369680852344181,0.13853781612793348,0.009504340493900882,-0.2104920045775729,AS
Sivasagar,Total,0.642455825306444,1.2866103748831292,0.9085909531128998,0.40962169352294375,0.4203436652002169,0.603426631585561,0.8786167906349213,-0.16636401515964955,0.3910870128130228,-0.07246085232369823,-1.6020114702760222,-1.4765711212117114,-0.9117047259083714,-1.4378725246787702,AS
Jorhat,Total,0.9819818467493326,1.157534631268416,0.08814746873469492,-0.19842295170507906,0.39337256866727416,0.8131570747192899,0.3744207324296306,-0.4126988918025965,-0.6971904528992668,-1.0846947294229952,-0.7542549375939043,-0.5364330830587836,-1.2614229825981227,-1.1486991037125196,AS
Golaghat,Total,0.5523774930869024,1.1043857956623573,-0.04859311199500565,0.049037078329581124,0.3731442462675676,0.7831955828430426,0.8281971848143928,0.35494932843356425,-0.011102485384997276,-0.3660086766824942,-0.8716366113498899,-0.2712659440925733,-1.0822989974643478,-1.450724676721715,AS
Karbi Anglong,Total,-0.4107677514143519,-0.9304553389695973,-2.404738503029852,-2.4397037951618583,-2.1284249571628338,-2.055655772431349,-1.9280746000411972,-1.306378909390963,0.10718854349677333,-0.8215139213771779,-0.24560101798463363,0.813508715314651,-0.7837590222413892,-2.0097932905897995,AS
Dima Hasao,Total,0.2752133939498508,0.05659446514291798,0.003999419054879305,-0.26205553085684824,-0.011193879326860822,0.4311480532971416,-0.08495789837963408,-1.0256717243792326,-0.46060839513572566,-0.1534395624916417,-1.8628596341782124,-1.524783328296477,-1.252893269020324,-1.7334720216664934,AS
Cachar,Total,0.4900155707810664,0.21604097196109362,-0.9637031522630041,-1.0751384866850175,-0.422503101454231,-0.8871575892577205,-0.11857096892665354,-0.16636401515964955,-0.9929180251036934,0.008517857844245256,1.3064455572333982,0.8858270259417994,0.2909848885612616,-1.6049505012370486,AS
Karimganj,Total,0.7463923624828384,-0.5735988713289186,-1.1425177578326133,-0.5095155608915084,-0.4090175531877606,-1.081907286453326,-0.10736661207764692,0.4466088174169861,-0.4369501893593715,0.6158581841038234,-0.38906750813083796,-0.36769035826210444,0.23127689351667025,-2.0097932905897995,AS
Hailakandi,Total,0.3930081360830979,-0.1711862588830471,-2.425775515449806,-1.633691125906108,-1.2586070939754437,-1.576271902411399,-0.9644999110266413,0.6070129231379756,-0.4960957038002568,0.19071995572211917,-0.1934313852041953,-0.31947815117733885,-0.033144227395093206,-1.727045945645021,AS
Bongaigaon,Total,0.2474969840361462,-0.7026746149436323,-0.7007404970135793,-1.9377134485201188,-0.5101591651862943,-0.048235816722807766,-1.1493717990352479,-0.4814435085401633,0.3792579099248456,0.29194334343204886,0.3934769835757325,1.2233124755351579,9.746269161019429e-4,-1.373611764464048,AS
Chirang,Total,-0.31376031671638394,-0.8241576677574802,-1.4370359317119688,-1.6690425587682023,-1.21815044917603,-0.9021383351958442,-0.8916715915080992,-0.6303901781382245,-0.7563359673401522,0.3931667311419786,-0.9890182851058755,-0.7774941184826112,-0.698461886463401,-1.3029249282278532,AS
Kamrup,Total,0.6147394153927395,0.19326289955849707,-2.015553773260703,-1.8740808693683493,-1.4743758662389825,-1.733569734761695,-1.1661783343087577,-0.1778214512825771,-0.18853902870765318,-0.29515230528554387,-0.23255860978952392,-0.5605391866011665,-0.2805059211512588,-1.4250203726358257,AS
Kamrup Metropolitan,Total,1.141351203753137,0.18567020875763146,0.2459250618843498,0.38841083380568736,0.4945141806658079,0.8206474476883512,0.08310745435546243,0.18308778658964764,0.059872131944065043,-1.175795778361932,-1.2498664490080655,-1.2596161893302666,-0.8264075901303832,-1.373611764464048,AS
Nalbari,Total,0.7948960798318225,-0.8545284309609422,-0.2063707051446605,-1.2306847912782326,0.3259448273349183,-0.06321656266093141,-0.202603645294202,-0.6704912045684714,-0.9574307164391621,-0.9531043254000866,-0.6890428966183567,-0.34358425471972154,-1.0993584246199453,-0.6795955541450465,AS
Baksa,Total,0.3306462137772609,0.8082708544286028,0.025036431474832088,-0.5731481400432786,0.2989737308019756,0.05662940484405566,-0.13537750420016306,-0.32103940281917426,0.249137778154898,-0.3862533542244804,-1.3150784899836132,-1.1872978787031183,-0.8946452987527739,-1.0844383434977973,AS
